"type","class","order","family","genus","species","taxa_level","linf_cm","k","winf_kg","tmax_yr","tmat_yr","m","lmat_cm","temp_c","habitat","depth_m_mid","migratory","depth_m_min","depth_m_max","comm_depth_m_min","comm_depth_m_max","troph","feeding","repro_mode","spawning","repro_guild1","repro_guild2","spawning_ground","lmax_cm","wmax_kg"
"finfish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes fasciatus","species",36.0796589948631,0.151675321662475,0.722588724926144,27.9998562126589,6.12372652901606,0.139530289127198,23.0143726420409,11.7283330914818,"demersal",331,NA,70,592,128,366,NA,"selective plankton feeding","dioecism",NA,"bearers","internal live bearers",NA,NA,NA
"finfish","Actinopterygii","Beryciformes","Berycidae","Beryx","Beryx splendens","species",52.5171412393861,0.138910542106007,3.13267861890821,14.7579353629284,5.31192872773167,0.324890609761936,28.8662693712383,15.6081968448869,"benthopelagic",662.5,NA,25,1300,400,600,3.81,"hunting macrofauna (predator)","dioecism",NA,"nonguarders",NA,NA,NA,NA
"finfish","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus alalunga","species",141.864513874259,0.180272954729569,37.6774853497062,15.0009396105679,4.74425572570805,0.255720222864568,81.3580941439297,15.824897072437,"pelagic-oceanic",300,"oceanodromous",0,600,NA,NA,4.13,"hunting macrofauna (predator)","dioecism",NA,"nonguarders","open water/substratum egg scatterers","oceanic",NA,NA
"finfish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Pleuronectes","Pleuronectes quadrituberculatus","species",49.156977684204,0.122501247156982,1.40455979374377,36.1242037762265,7.35238763079994,0.128915032457181,28.1003651952934,5.65492455346262,"bathydemersal",300,NA,0,600,NA,NA,3.18,"hunting macrofauna (predator)","dioecism",NA,"nonguarders",NA,"shelf",NA,NA
"finfish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossoides","Hippoglossoides platessoides","species",62.5789650345892,0.107111675628409,2.55834895069748,26.9517303990365,7.47805125626533,0.210817512287924,31.9300381515836,3.09604437483178,"demersal",1505,"oceanodromous",10,3000,90,250,3.61,"hunting macrofauna (predator)","dioecism",NA,"nonguarders",NA,NA,NA,NA
"finfish","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","Engraulis encrasicolus","species",18.2078408527517,0.48448519812328,0.0365596468918355,4.7532367952289,1.16282032017003,0.858747908570136,10.2242200340028,14.1698052263871,"pelagic-neritic",200,"oceanodromous",0,400,NA,NA,3.12,"selective plankton feeding","dioecism","one clear seasonal peak per year","nonguarders","open water/substratum egg scatterers","coastal",NA,NA
"finfish","Actinopterygii","Clupeiformes","Clupeidae","Clupeonella","Clupeonella engrauliformis","species",16.0673528912382,0.619137029011189,0.040840753547792,4.7211373431896,1.54128130813135,0.979025174995242,10.4330559742819,18.9165750137519,"pelagic",39,NA,0,78,NA,NA,3,NA,"dioecism","one clear seasonal peak per year","nonguarders","open water/substratum egg scatterers","oceanic",NA,NA
"finfish","Actinopterygii","Lophiiformes","Lophiidae","Lophius","Lophius budegassa","species",88.0012512146827,0.11157466841098,8.19097278479409,12.758876947497,4.06875571064883,0.28318331494671,34.9123820727996,14.1410881491551,"bathydemersal",541.5,NA,70,1013,100,500,4.23,"hunting macrofauna (predator)","dioecism",NA,"nonguarders",NA,NA,NA,NA
"finfish","Actinopterygii","Gadiformes","Gadidae","Theragra","Theragra chalcogramma","species",64.1972130532834,0.256760882756684,1.58398853511185,11.359642388051,2.68566106435254,0.406954615049328,35.5722567835548,4.28400042434099,"benthopelagic",NA,"non-migratory",NA,1280,30,400,3.6800000667572,"hunting macrofauna (predator)","dioecism","one clear seasonal peak per year","nonguarders","open water/substratum egg scatterers",NA,NA,NA
"invertebrate","Bivalvia","Veneroida","Mactridae","Mactromeris","Mactromeris polynyma","species",NA,NA,NA,16,NA,NA,NA,NA,"benthic",100,NA,0,200,NA,NA,NA,NA,"dioecism",NA,NA,NA,NA,14,NA
"finfish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Atheresthes","Atheresthes stomias","species",68.5489097441645,0.119846732300758,3.65077103261616,23.6760107532432,5.946775373065,0.176256804273318,34.1306404578802,9.3717240578145,"demersal",484,NA,18,950,NA,NA,4.05,"hunting macrofauna (predator)","dioecism",NA,"nonguarders",NA,NA,NA,NA
"finfish","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","Engraulis anchoita","species",18.9950684429824,0.386506391433076,0.0431404700235761,4.85056920951764,1.52433472220895,0.924896831606378,10.3575897340684,18.2836323688888,"pelagic-neritic",115,"oceanodromous",30,200,NA,NA,2.51,"filtering plankton","dioecism","Two seasonal peaks per year","nonguarders","open water/substratum egg scatterers","coastal",NA,NA
"finfish","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","Merluccius hubbsi","species",68.3555589329178,0.221322451046077,2.48657834310537,12.6590119801591,3.67631625241737,0.400870870075933,37.8955779208675,12.3792339027439,"benthopelagic",425,"oceanodromous",50,800,100,200,4.23,"hunting macrofauna (predator)","dioecism","two seasonal peaks per year","nonguarders","open water/substratum egg scatterers","coastal",NA,NA
"finfish","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus thynnus","species",351.105145078083,0.0979841406361893,660.586726369746,24.7213539250978,7.82127945934583,0.152336187713751,175.556413394898,15.8691666908895,"pelagic-oceanic",492.5,"oceanodromous",0,985,0,100,4.21,"hunting macrofauna (predator)","dioecism","variable throughout range","nonguarders","open water/substratum egg scatterers",NA,NA,NA
"finfish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus","Hippoglossus hippoglossus","species",204.497916488428,0.0653556464571464,144.635472636115,42.9334514856674,12.6849041902008,0.116466518502922,97.3357083552136,9.92714109145773,"demersal",1025,"oceanodromous",50,2000,NA,NA,4.28,"hunting macrofauna (predator)","dioecism",NA,"nonguarders","open water/substratum egg scatterers",NA,NA,NA
"finfish","Actinopterygii","Scorpaeniformes","Hexagrammidae","Pleurogrammus","Pleurogrammus monopterygius","species",45.4665862657319,0.433781217294873,0.57182873879973,11.5144809928042,3.93400721376365,0.56520880957024,33.8079418909366,8.02428216224085,"demersal",360,NA,0,720,NA,NA,3.64,"hunting macrofauna (predator)","dioecism","one clear seasonal peak per year","guarders","nesters",NA,NA,NA
"finfish","Actinopterygii","Perciformes","Sciaenidae","Micropogonias","Micropogonias undulatus","species",32.0508828189215,0.385868536830198,0.36283820841107,6.25591775889864,1.66825943763086,0.821091727450257,16.1095768763344,24.7693154393634,"demersal",NA,NA,NA,100,NA,NA,4,"hunting macrofauna (predator)",NA,NA,NA,NA,NA,NA,NA
"finfish","Actinopterygii","Perciformes","Nototheniidae","Dissostichus","Dissostichus mawsoni","species",148.247302193527,0.0823818237620116,37.0344929756934,27.567736895896,9.13673825872025,0.157008927458374,76.8507094377121,9.92662827938937,"pelagic-oceanic",1100,NA,0,2200,88,1600,3.94,"hunting macrofauna (predator)","dioecism",NA,NA,NA,"shelf",NA,NA
"finfish","Actinopterygii","Perciformes","Arripidae","Arripis","Arripis trutta","species",29.1994208857869,0.353658640284217,0.215636531261766,11.2363992372699,2.94500987973301,0.60432175718227,18.5621599142342,14.6515745923668,"pelagic-neritic",34.5,"anadromous",30,39,NA,NA,3.7,"hunting macrofauna (predator)","dioecism",NA,"nonguarders",NA,"lacustrine",NA,NA
"invertebrate","Malacostraca","Decapoda","Portunidae","Callinectes","Callinectes sapidus","species",20.635,0.82,NA,NA,NA,NA,NA,NA,"benthopelagic",45,NA,0,90,0,35,3.35,"hunting macrofauna (predator)","dioecism",NA,"bearers","External brooders","coastal",22.7,NA
"finfish","Actinopterygii","Perciformes","Sciaenidae","Pseudotolithus","Pseudotolithus elongatus","species",51.4611633142753,0.319004292107768,1.07853860808417,11.8583661493803,3.1727693351502,0.463086393877425,31.6419213358151,16.6994700076314,"demersal",50," ",0,100,50,100,4.06,"hunting macrofauna (predator)",NA,NA,NA,NA,NA,NA,NA
"finfish","Actinopterygii","Gadiformes","Merlucciidae","Macruronus","Macruronus novaezelandiae","species",107.298658646441,0.176257043148184,3.66168767207755,21.2011708711344,5.74300500420237,0.237023380049284,62.4447695793857,11.4681668698721,"benthopelagic",500,"oceanodromous",0,1000,200,700,4.23,"hunting macrofauna (predator)","dioecism","one clear seasonal peak per year","nonguarders","open water/substratum egg scatterers","oceanic",NA,NA
"finfish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes melanostomus","species",47.1796738720043,0.0691986977253373,2.31833999059147,77.9848215523756,15.5259003180613,0.0598848587805147,31.3561803536831,13.1764368173388,"bathydemersal",446.5,NA,124,769,NA,NA,NA,NA,"dioecism",NA,"bearers","internal live bearers",NA,NA,NA
"finfish","Actinopterygii","Perciformes","Haemulidae","Brachydeuterus","Brachydeuterus auritus","species",24.1888705374583,0.411423948254355,0.196340974413735,9.36376160249304,2.03300427266565,0.794946117088516,13.4389604693631,25.1713492866592,"benthopelagic",55," ",10,100,15,80,3.03,"variable","dioecism",NA,"nonguarders","open water/substratum egg scatterers",NA,NA,NA
"finfish","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","Merluccius polli","species",69.2604708253369,0.256442420869336,2.72418315186178,11.1551245953372,3.22399186760952,0.472901444747815,37.6825488761188,16.1564776768535,"bathydemersal",525,"non-migratory",50,1000,50,550,4.5,"hunting macrofauna (predator)",NA,NA,NA,NA,NA,NA,NA
"finfish","Elasmobranchii","Carcharhiniformes","Sphyrnidae","Sphyrna","Sphyrna tiburo","species",116.914824899,0.279742372556918,5.54269165606401,15.728081442859,5.10151112030131,0.330356012140777,81.8563812667902,25.4419699012307,"reef-associated",45,NA,10,80,10,25,3.91,"hunting macrofauna (predator)","dioecism",NA,"bearers","internal live bearers",NA,NA,NA
"finfish","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus obesus","species",200.905020335261,0.188156091541074,90.6544214412388,12.6444860937059,4.06656175872376,0.327124601839471,99.5200622023409,20.9351892315495,"pelagic-oceanic",750,"oceanodromous",0,1500,0,500,4.48,"hunting macrofauna (predator)","dioecism","Variable throughout range","nonguarders","open water/substratum egg scatterers",NA,NA,NA
"finfish","Actinopterygii","Beryciformes","Berycidae","Centroberyx","Centroberyx gerrardi","species",30.0096252642524,0.231372841838781,0.350842701216519,9.64748121010863,3.37841838975427,0.51478517083471,17.4512225530556,13.5054073343073,"demersal",255,NA,10,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"finfish","Elasmobranchii","Rajiformes","Rajidae","Raja","Raja binoculata","species",99.3804012058472,0.149468149784092,5.55907497459624,15.4177969504971,7.10318194624213,0.265035522319558,68.5612060962735,12.5326167282999,"demersal",401.5,NA,3,800,3,110,3.92,"hunting macrofauna (predator)","dioecism",NA,"nonguarders","open water/substratum egg scatterers",NA,NA,NA
"finfish","Actinopterygii","Perciformes","Epigonidae","Epigonus","Epigonus telescopus","species",127.453274541544,0.0707090628027428,24.7735987889315,47.2118200583306,10.2005273842996,0.0885719244939891,66.8606774256205,14.2819769454904,"bathydemersal",637.5,NA,75,1200,300,800,3.5,"hunting macrofauna (predator)","dioecism","one clear seasonal peak per year",NA,NA,NA,NA,NA
"invertebrate","Malacostraca","Decapoda","Lithodidae","Paralithodes","Paralithodes platypus","species",NA,NA,NA,NA,NA,NA,NA,NA,"benthic",257,NA,25,489,NA,NA,3.9,"hunting macrofauna (predator)","dioecism",NA,NA,NA,NA,22,4.5
"finfish","Actinopterygii","Perciformes","Serranidae","Mycteroperca","Mycteroperca bonaci","species",125.718786094566,0.125599705650434,28.1669660407197,28.6654598084725,9.67624257985243,0.227923466123613,71.7415284540747,24.4648981239217,"reef-associated",NA,NA,NA,250,NA,NA,4.5,"hunting macrofauna (predator)","protogyny","throughout the year, but peaking once","nonguarders","open water/substratum egg scatterers","coastal",NA,NA
"finfish","Actinopterygii","Zeiformes","Oreosomatidae","Allocyttus","Allocyttus niger","species",38.3924471177904,0.0734378887266394,1.28986257082302,37.6851380062713,14.184886388125,0.134379680825151,28.2648946075009,10.9981151286856,"bathypelagic",930,"oceanodromous",560,1300,NA,NA,3.38,"filtering plankton","dioecism","one clear seasonal peak per year","nonguarders",NA,NA,NA,NA
"finfish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes melanops","species",49.417653223595,0.146964145236459,2.05029610098954,42.7199550955174,8.42602885138929,0.109057250962829,33.9043262776203,12.3659732489379,"reef-associated",183,NA,0,366,183,274,3.9,"hunting macrofauna (predator)","dioecism",NA,"bearers","internal live bearers","coastal",NA,NA
"finfish","Actinopterygii","Perciformes","Istiophoridae","Istiompax","Istiompax indica","species",137.842313540831,0.383595424753986,15.0373795153099,10.2039887899543,2.44660389692312,0.512589141514266,70.2188316329432,19.0574592421407,"pelagic-oceanic",457.5,"oceanodromous",0,915,0,200,4.46999979019165,"hunting macrofauna (predator)","dioecism","Variable throughout range","nonguarders","open water/substratum egg scatterers",NA,NA,NA
"finfish","Actinopterygii","Perciformes","Pomatomidae","Pomatomus","Pomatomus saltatrix","species",99.8537955516183,0.185448659582066,9.53800162994096,9.6392967700102,2.6779024375532,0.378864828443736,42.6989858778237,23.0941495489717,"pelagic-oceanic",100,"oceanodromous",0,200,NA,NA,4.08,"hunting macrofauna (predator)","dioecism",NA,NA,NA,"shelf",NA,NA
"finfish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes mystinus","species",35.2447874084737,0.155359961966541,0.791072154376756,38.4375579327688,7.57864306042342,0.123828172163729,24.2142262622226,14.5922410584446,"reef-associated",275,NA,0,550,183,550,3.48,"variable","dioecism",NA,"bearers","internal live bearers",NA,NA,NA
"finfish","Actinopterygii","Perciformes","Scombridae","Scomber","Scomber australasicus","species",39.33812431554,0.378616370922957,0.702021056795293,7.96903005643873,2.18195234834117,0.569169493816239,23.1887232629687,22.5467043861144,"pelagic-neritic",143.5,"oceanodromous",87,200,NA,NA,4.07999992370605,"hunting macrofauna (predator)",NA,NA,NA,NA,NA,NA,NA
"finfish","Actinopterygii","Perciformes","Istiophoridae","Makaira","Makaira nigricans","species",430.897759757448,0.280475633345384,429.656875789835,16.8466629348774,3.85296899736425,0.328342363534166,202.378663350328,24.053444870992,"pelagic-oceanic",500,"oceanodromous",0,1000,NA,NA,4.3899998664856,"hunting macrofauna (predator)","dioecism",NA,"nonguarders","open water/substratum egg scatterers",NA,NA,NA
"finfish","Actinopterygii","Perciformes","Istiophoridae","Makaira","Makaira mazara","species",469.932498134381,0.194069783280333,644.705360765834,25.1701718109396,5.58884055181642,0.224538819545233,221.923526817253,24.217480945986,"pelagic-oceanic",100,"oceanodromous",0,200,100,NA,4.46,"hunting macrofauna (predator)","dioecism","Variable throughout range","nonguarders","open water/substratum egg scatterers",NA,NA,NA
"finfish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes rufus","species",38.0088829763065,0.128353478619067,0.930755733019741,45.5742238919303,9.03826338969516,0.100069344932279,26.4090407384095,10.7930228205853,"demersal",139,NA,31,247,NA,NA,NA,NA,"dioecism",NA,"bearers","internal live bearers",NA,NA,NA
"finfish","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus acronotus","species",162.637133196838,0.204458783384171,47.8143690079412,11.430209254863,6.20475665026018,0.351344842739219,117.034370501054,22.4537855886949,"reef-associated",36.5,NA,9,64,9,NA,4.5,"hunting macrofauna (predator)","dioecism",NA,"bearers","internal live bearers","coastal",NA,NA
"finfish","Actinopterygii","Perciformes","Centrolophidae","Hyperoglyphe","Hyperoglyphe antarctica","species",96.0527367615182,0.131405045081084,17.1542706638653,21.7129595330342,5.6943159286019,0.223280578226105,51.5868288905355,11.9320048551187,"benthopelagic",770,NA,40,1500,260,490,3.95,"hunting macrofauna (predator)","dioecism",NA,"nonguarders",NA,NA,NA,NA
"finfish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes paucispinis","species",37.9332703513578,0.136548765904023,1.0784789287361,42.5922828511873,8.7838475146727,0.12525982007626,25.5633172078874,15.8515502745113,"reef-associated",238,NA,0,476,NA,NA,3.51,"hunting macrofauna (predator)","dioecism",NA,"bearers","internal live bearers",NA,NA,NA
"finfish","Actinopterygii","Clupeiformes","Clupeidae","Ethmalosa","Ethmalosa fimbriata","species",36.3294511635782,0.583024622195893,0.389624411370989,6.80402516828778,2.00085830112674,0.677742353481186,23.5717125154886,19.6641948457618,"pelagic-neritic",NA,"catadromous",0,NA,0,50,2.46000003814697,"filtering plankton","dioecism","Variable throughout range","nonguarders","open water/substratum egg scatterers","riverine",NA,NA
"finfish","Actinopterygii","Perciformes","Sparidae","Dentex","Dentex tumifrons","species",46.7764053421366,0.211800923375294,1.66786638953271,11.4871675573401,2.85987775239843,0.456520354909902,22.3292157802399,19.680349876202,"demersal",188,NA,30,346,NA,NA,NA,NA,"protogyny",NA,"nonguarders",NA,NA,NA,NA
"finfish","Actinopterygii","Perciformes","Sparidae","Dentex","Dentex spp","genus",53.5548718205662,0.173503443798212,2.48125123603881,13.5618570824353,3.40394052797405,0.376620449401096,25.2976272000552,18.2593748319864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"invertebrate","Malacostraca","Decapoda","Penaeidae","Farfantepenaeus","Farfantepenaeus aztecus","species",18.985,3.5254,0.0605,NA,NA,NA,NA,NA,"benthic",100,NA,0,200,27,54,2.93,NA,"dioecism",NA,"bearers","External brooders",NA,19.5,NA
"finfish","Actinopterygii","Perciformes","Serranidae","Centropristis","Centropristis striata","species",32.4305394308244,0.312475110272788,0.140066996550983,7.57137087820431,2.51470799046414,0.584189845843711,17.701501570918,18.4663702716104,"reef-associated",NA,"oceanodromous",1,NA,NA,NA,3.66,"hunting macrofauna (predator)","protogyny",NA,"nonguarders","open water/substratum egg scatterers",NA,NA,NA
"finfish","Elasmobranchii","Rajiformes","Rajidae","Dipturus","Dipturus laevis","species",177.421605800666,0.112651776189606,27.6909489741667,14.106588748366,7.03486726908228,0.223488792655456,100.32694114394,15.4541756329754,"demersal",375,"oceanodromous",0,750,0,150,4.09,"hunting macrofauna (predator)","dioecism",NA,"nonguarders","open water/substratum egg scatterers",NA,NA,NA
"invertebrate","Malacostraca","Decapoda","Galatheidae","Cervimunida","Cervimunida johni","species",4.92,0.25225,NA,NA,NA,NA,NA,NA,"bathydemersal",275,NA,50,500,NA,NA,2,NA,"dioecism",NA,"bearers","External brooders",NA,8,NA
"finfish","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus limbatus","species",193.159096847806,0.193079293705327,56.3357312004771,13.1569219451613,6.9179085042929,0.295364952921512,140.187317800474,25.1753877282137,"reef-associated",50,"amphidromous",0,100,0,30,4.46,"hunting macrofauna (predator)","dioecism",NA,"bearers","internal live bearers",NA,NA,NA
"invertebrate","Malacostraca","Decapoda","Penaeidae","Penaeus","Penaeus esculentus","species",13.7625,0.129,0.050775,NA,NA,NA,NA,NA,"benthic",34.5,NA,8,61,NA,NA,2.77,"variable","dioecism",NA,"bearers","External brooders",NA,14.5,NA
"finfish","Actinopterygii","Perciformes","Stromateidae","Peprilus","Peprilus triacanthus","species",22.7582876283253,0.758583990004279,0.142923935570985,5.62507526192007,1.28884692877307,1.03407893184109,14.3172466548004,17.8352119416989,"benthopelagic",217.5,"oceanodromous",15,420,NA,55,3.68,"hunting macrofauna (predator)","dioecism",NA,"nonguarders",NA,NA,NA,NA
"finfish","Actinopterygii","Gadiformes","Gadidae","Micromesistius","Micromesistius poutassou","species",35.8706979312847,0.282689189616698,0.350968671398329,12.056870363655,3.03664590454871,0.41375542251684,23.4381413288622,12.1502276912313,"bathypelagic",1575,"oceanodromous",150,3000,300,400,3.70000004768372,"hunting macrofauna (predator)","dioecism",NA,"nonguarders","open water/substratum egg scatterers","shelf",NA,NA
"finfish","Actinopterygii","Scorpaeniformes","Cottidae","Scorpaenichthys","Scorpaenichthys marmoratus","species",53.2889237333477,0.23544911503199,1.52899717234997,10.6629272289298,3.25334712441648,0.398674229547751,28.0950234936486,15.7367301021962,"demersal",100,NA,0,200,NA,NA,3.61999988555908,"variable","dioecism",NA,NA,NA,NA,NA,NA
"finfish","Actinopterygii","Scorpaeniformes","Scorpaenidae","Scorpaena","Scorpaena guttata","species",38.7613867167445,0.160853090686934,0.688616580983405,14.0097051865955,3.35220888315074,0.319204074045452,17.1956469475114,17.1604385075437,"demersal",NA,NA,NA,183,NA,30,NA,NA,"dioecism",NA,"nonguarders","open water/substratum egg scatterers",NA,NA,NA
"finfish","Actinopterygii","Osmeriformes","Osmeridae","Mallotus","Mallotus villosus","species",20.3648228581759,0.460515022691593,0.0495181435258081,5.6829930010871,2.84475174623054,0.999801483974034,15.9828253337407,4.76220905412746,"pelagic-oceanic",362.5,"anadromous",0,725,NA,200,3.2,"selective plankton feeding","dioecism","once in a lifetime","nonguarders","open water/substratum egg scatterers","coastal",NA,NA
"finfish","Actinopterygii","Siluriformes","Ariidae","Arius","Arius spp","genus",61.2729341548517,0.235759523138902,2.0251306737092,11.0911798865603,2.68760118914176,0.428308166551622,27.7522405946007,25.5229415778391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"finfish","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","Merluccius capensis","species",119.41087130392,0.113386802694694,15.1614431053344,21.0364017235148,6.3209711990066,0.232625088020229,59.8742969210023,15.1932685027109,"bathydemersal",525,"oceanodromous",50,1000,150,450,3.88,"hunting macrofauna (predator)","dioecism",NA,"nonguarders","open water/substratum egg scatterers",NA,NA,NA
"finfish","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea bentincki","species",18.3799639294323,0.580864376195047,0.0596150666700552,6.02798091351162,1.84023212503224,0.688734649202883,12.8060601604623,14.897757894488,"pelagic-neritic",35,NA,0,70,NA,NA,2.69,"filtering plankton","dioecism","one clear seasonal peak per year","nonguarders","open water/substratum egg scatterers","coastal",NA,NA
"finfish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes goodei","species",29.3974054465879,0.188296219294505,0.427076108522536,30.3901044290496,6.08800254016652,0.151065964280472,20.3973035981757,13.3465920816874,"demersal",212.5,NA,0,425,NA,NA,3.46,"variable","dioecism",NA,"bearers","internal live bearers",NA,NA,NA
"finfish","Actinopterygii","Perciformes","Carangidae","Trachurus","Trachurus trecae","species",44.7138936493603,0.254332344007787,1.00368275045615,13.0859633678731,3.09959999558989,0.501731607398576,23.2366179913022,20.0808749508847,"benthopelagic",60,NA,20,100,20,100,3.49,"variable","dioecism",NA,"nonguarders","open water/substratum egg scatterers",NA,NA,NA
"invertebrate","Cephalopoda","Teuthida","Loliginidae","Loligo","Loligo reynaudii","species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"finfish","Actinopterygii","Perciformes","Carangidae","Trachurus","Trachurus murphyi","species",78.9235140596224,0.121142068517534,5.44767730777683,24.3340910695657,5.94178226793407,0.246612369764881,39.0220620421082,15.8515676774481,"pelagic-oceanic",158,"oceanodromous",10,306,10,70,3.49,"hunting macrofauna (predator)","dioecism",NA,"nonguarders","open water/substratum egg scatterers",NA,NA,NA
"finfish","Actinopterygii","Perciformes","Scombridae","Scomber","Scomber japonicus","species",44.0055606241054,0.290197366382591,1.14449502542221,8.57212006127386,2.73840525681396,0.481009738790409,26.9088851333473,15.8404849381833,"pelagic-neritic",150,"oceanodromous",0,300,50,200,3.42,"hunting macrofauna (predator)","dioecism","Variable throughout range","nonguarders","open water/substratum egg scatterers",NA,NA,NA
