"year","sst","msy","msy_lo","msy_hi"
1850,12.6485886662413,35145748.4815627,30338052.7848427,40838798.8990475
1851,12.8362917019733,34932821.264301,31508557.3513421,38806373.8656917
1852,12.8124497057986,34800800.0341741,30497370.8232837,39917888.7884537
1853,12.7810045673379,34789883.8136719,30712488.83095,39549281.9731393
1854,12.7533712552914,34820976.4031619,30762777.9994259,39550459.1009682
1855,12.7956981873425,35469570.4891892,31399938.6417416,40256854.4854331
1856,12.6766887859497,35301790.119807,30249190.7180117,41373473.2769824
1857,12.6656608240909,34992698.8654666,29770474.4785243,41362586.3101386
1858,12.7601996981057,34980905.2137088,30688857.4749116,39967016.1664284
1859,12.7292942226879,34752189.1025016,30448453.8734987,39783221.8768281
1860,12.7127275537438,35275742.4966068,30206790.6301218,41373524.5737617
1861,12.685469672912,35252598.7516954,30608248.5056666,40690787.7894203
1862,12.7215646610349,35414788.1426319,30877780.5715171,40838665.5442201
1863,12.6997884436522,35028123.9541787,30492292.2113051,40445204.0844957
1864,12.7601215433734,35070964.4958358,30433068.2293212,40539926.2880699
1865,12.8633763707995,35066674.4905027,31987682.6583397,38548297.2062089
1866,12.8639298277879,34950398.0949264,31594928.3818804,38775157.9427905
1867,12.8064688383603,35184802.6420531,31766725.8167139,39112013.5982181
1868,12.8413385461167,34550018.5969628,31178617.8571318,38538755.3113783
1869,12.7859237493367,34803418.2290652,31022551.1592939,39239782.4431961
1870,12.7643849923604,34805459.917706,30720116.4718654,39591001.6852288
1871,12.6878274598254,35166799.9353846,30630226.9910267,40526712.7293707
1872,12.6927648489661,34729230.1717926,30056318.1996074,40355427.1628337
1873,12.6377611128247,35217618.1739832,29291422.7309572,42549612.1510449
1874,12.6498731656934,35103713.4450777,29470305.1714556,42008549.3322037
1875,12.7339610491714,34911665.636646,30163422.799275,40535676.6114427
1876,12.7078417822291,35302807.2886006,30017369.5956819,41672748.7834754
1877,13.0045591929243,35150821.6363397,31397213.8720078,39574067.3961247
1878,13.0708756892858,34349630.4002306,31621965.9076235,37378867.0006272
1879,12.7989586075306,35727492.9596603,31619185.1804465,40726091.8369631
1880,12.7917426114328,34757894.2461543,31346850.382762,38636672.958068
1881,12.7869018155878,35418921.8698677,31136215.4753114,40532467.7080008
1882,12.6983005721391,34652146.7636713,30521698.7271671,39452595.7462801
1883,12.7559113375451,34951463.3541773,30940074.3548482,39646003.5046253
1884,12.7735563350449,35074048.2936783,30732236.9940889,40312716.3469881
1885,12.8032092335577,35900302.1372165,30503071.1680581,42631941.9845265
1886,12.7719226598475,35696314.8133504,30014355.1300852,42665388.405312
1887,12.6340321900638,35831501.1787877,29931471.5997122,43132675.3945759
1888,12.7134347818646,36387999.4990966,30735492.1126272,43685513.5127674
1889,12.8064673934184,35168131.4276114,31122075.2408561,39986062.0485015
1890,12.6076431428344,35040583.0888151,29436836.9330333,41933866.2341208
1891,12.6843957369194,35773342.1690333,30816397.8354743,41888623.8552468
1892,12.5139278683773,35855374.7713002,29055840.5171736,44515617.8199667
1893,12.5321744904497,35362355.9112833,28534170.412637,44169412.7041066
1894,12.5357767209293,35144402.9999544,29773014.9736874,41685396.1572708
1895,12.5967450991426,35678761.3501056,30115489.1913538,42424327.9723222
1896,12.8329519820781,34932451.9199746,31538210.8844384,38782360.8499523
1897,12.7987623984654,35216808.4210396,31507612.9505445,39529491.1769196
1898,12.7746665356878,34906751.4840673,30928282.5826905,39562188.3089755
1899,12.7545177609045,34991447.4747783,31239717.1991851,39353693.5345126
1900,12.8517563447653,35154665.0060534,31217638.7306502,39776291.564919
1901,12.6347329906364,35552806.8057166,30439917.3483652,41804444.9534083
1902,12.529584362999,36510587.9878611,30213412.6603395,44982436.3391392
1903,12.4024266541751,35720925.2206917,28779455.5776257,44651596.3672912
1904,12.4769998961533,35764454.3988818,29900640.7966011,43585693.4660483
1905,12.5508279990955,35616023.6097473,29835378.6661612,43232772.2470812
1906,12.618127401134,35692952.3160602,29609375.9458724,43375370.7380897
1907,12.4407762774902,36053455.0348828,28716915.0312915,45753446.4276082
1908,12.3866541124088,35877451.1682665,28076721.7965098,46535857.684126
1909,12.3117353595131,35998068.7959396,28022064.4651986,46468647.7988328
1910,12.312019759881,35577031.5322756,27376470.3438005,46657716.5033809
1911,12.3931589679219,35286380.7792518,28773006.553796,43800224.1887495
1912,12.5000095409759,35417474.1357966,29973168.4872034,42435389.3935394
1913,12.53010671042,35459311.6473176,30069966.4211668,42466594.0153697
1914,12.7013823102846,34627761.9571003,30959282.982873,38995627.8722031
1915,12.7731545541581,35244698.478223,31673889.8807314,39564996.8159942
1916,12.4564918775523,35273880.6524511,28419342.1624407,44233978.9508163
1917,12.4496379910881,36302643.3486966,28849616.8071452,46036251.1530217
1918,12.6306064342496,36073000.7871995,30138314.9370558,43668993.1926161
1919,12.57591280643,36096336.3951179,30824355.354954,42656729.2805823
1920,12.6386398627274,35076959.4539761,30658214.2521771,40365344.4541391
1921,12.6991369453748,34725942.1262891,29506470.395777,41158175.1315078
1922,12.5802280056179,35578995.4399637,29793205.7409096,42872698.1695236
1923,12.6195821263238,35719915.7314635,30222200.234754,42638164.6020101
1924,12.5556427082705,35774941.0132743,28693824.7803722,45038385.1029815
1925,12.7447234995805,35288816.7150455,31397114.296607,40018127.7031503
1926,13.0030432371266,35062860.39669,30641326.1059119,40633381.4673476
1927,12.7688633186009,35455553.2888915,30100121.8350638,41997606.1406656
1928,12.7054709004959,35437870.9723019,29652415.2003467,42579871.8673942
1929,12.6878891586452,35871403.1679261,30322690.2332419,42832357.5192364
1930,12.9245248409862,34792178.8289197,32234413.7927529,37659870.9296808
1931,12.9096772007006,35743414.4055983,32051970.6729255,40216929.1276346
1932,12.8339511816341,35183831.3112561,31794420.4503254,39230325.7946544
1933,12.7462198458922,34502039.2302374,30043653.3142995,39882288.8863355
1934,12.9821886850722,35229717.6253529,30047394.4654988,42062999.5910365
1935,12.8737984702382,35059660.6362588,30442420.3085146,40858015.8937526
1936,13.0553592256306,35352002.3974005,30447608.86932,41736726.4575214
1937,13.086380258522,34875292.4001341,31616231.4600799,38617916.2356325
1938,13.0112956093725,34877823.7991931,30071471.0113824,40877072.3154237
1939,12.9666282782325,35021320.5446944,31646202.747348,39181901.2576605
1940,13.0756985404829,36166384.2979319,31520164.9885246,42253857.5346775
1941,13.1604976238787,36239879.8901863,30185908.9731313,44333599.6965689
1942,13.1407884742979,35176368.9469257,31340963.0053354,39681622.6621978
1943,13.1263824904901,34676829.4603585,31908394.1327039,37880163.6023638
1944,13.1679266050355,34897566.6233635,33352828.2339078,36588446.4667729
1945,13.1655598972724,34317699.1724704,33060341.6014601,35649405.6850563
1946,12.9094550733784,34507724.5574151,31709927.6328889,37618181.9593197
1947,12.9305577439111,35377453.3132194,31521689.4173874,39966374.6456101
1948,12.9169712395805,34848236.3497973,32336576.4533265,37656478.950012
1949,13.0343741195027,34275108.4187473,31687910.5977904,37279701.5111585
1950,12.9564582626039,34247268.0642597,30388735.2707946,38793399.6174241
1951,13.0697922193848,35294335.0184729,32443923.8533442,38537336.0453354
1952,13.0130352172272,34994599.859374,31720042.832821,38725145.0453679
1953,13.1286723316611,34431442.256836,32986902.7498195,35972785.1859527
1954,13.0050522322086,34609584.5351377,31202255.1589002,38742475.3505578
1955,12.8348493367901,34626162.1586348,30330971.109708,39842742.9347778
1956,12.8263751655153,35139606.9749866,31206410.4325896,39813958.8342502
1957,13.184467348562,34909843.6889829,31620855.6460152,38703193.3786165
1958,13.2505697420054,34915559.9657406,32455357.0542009,37661884.7008205
1959,13.21468805267,33939005.2075264,31717900.3764567,36474027.92106
1960,13.0912883361814,34278488.7285612,31960593.6784687,36846276.1990909
1961,13.1606495616143,34082617.6638747,32005012.8757454,36355497.6228157
1962,12.9604076984047,35315833.9570392,31632658.1656129,39616775.7477359
1963,13.0499190851368,35543251.7214203,32111183.110922,39557501.0319521
1964,12.8362780197986,34569207.0639931,30676877.5159447,39222163.6223649
1965,12.82013996782,35490784.6413122,31013145.1721102,40868218.7877803
1966,12.8817801345999,34732537.6480851,31108648.0381539,38944081.549995
1967,13.0608237935626,34101785.2475766,30375018.9415125,38604536.3581506
1968,12.9635110524993,34486484.0324127,30933948.4049047,38620827.8933365
1969,13.0110718807104,34747802.5749639,32710667.5002306,36969725.3266217
1970,12.9240387025144,35151817.5407628,31288290.4838049,39740278.8523859
1971,12.8024520887917,34710994.2314041,30088144.1265843,40431342.7220839
1972,12.8762954486369,34780603.1208355,31563363.2052759,38729405.4628623
1973,12.9064813600348,34436057.4653448,30829367.0567001,38689151.0233637
1974,12.912431977805,34661257.4059855,31234494.225539,38751400.7766275
1975,12.8335255668464,34434000.245802,30634503.5032053,38983500.9676815
1976,12.8494149944006,34948363.8595177,31196122.4674394,39388313.4984918
1977,13.0017531763032,34735297.1578009,32412425.2196324,37345704.0472146
1978,13.0516655790227,34761169.9584335,32138803.2118024,37724007.5251609
1979,13.106019337472,35559192.1025871,32264693.4245236,39672819.4542129
1980,13.0063120036558,34861275.4421935,32735383.7088688,37232691.9927474
1981,13.0732437437428,35453149.2317841,31366198.3643275,40296395.5108211
1982,12.9711529476602,34854595.4062706,31813095.0752407,38265861.2927222
1983,13.2826836536946,35278613.1211114,30474550.6076048,42290301.4802333
1984,13.0810311188795,35095536.883705,32756614.771741,37725438.7789817
1985,12.9251051503869,35307640.4194525,32045510.6516395,39091208.6865339
1986,12.97842877478,35819106.9054311,32682038.3115059,39658811.7507552
1987,13.0446566977692,35254397.3357212,31113186.8943192,40280168.042891
1988,12.9451380829334,34372155.4874978,32068851.6349302,36913218.7867714
1989,13.1491588769627,34165560.2077211,32818434.7632416,35618019.3331051
1990,13.2393908194303,33908849.7213032,31775282.9509329,36253577.0743651
1991,13.0141519095164,34459091.7399917,32673659.9227076,36420012.2074906
1992,13.1312639918017,34587888.292345,31242097.1736855,38590903.6402798
1993,13.0784883232497,35143057.2036177,31828843.8650745,38983688.6979113
1994,13.1210359621678,34312125.4782532,32131641.3685046,36734646.9808526
1995,13.212971191921,34098483.7363693,32752618.5970689,35542320.8448611
1996,13.0723062716419,34908369.5260169,32178648.3812447,37997156.5345809
1997,13.4667210038264,34065973.5788038,28996974.2363145,41431091.288123
1998,13.4720891732055,33702681.2671716,29083374.8017384,39713765.928656
1999,13.2206611350863,33872007.5637755,30388753.5909829,37936939.4040389
2000,13.2678807692597,33976324.6267012,31960419.4019124,36220297.03448
2001,13.2702228866612,33887492.735659,31124119.656875,36975628.5603638
2002,13.3260897029932,33807565.359776,31098246.0969854,36909220.8111975
2003,13.4538682846362,33332572.4237892,30645282.1258178,36553180.1624898
2004,13.4073060333284,33418346.5785496,30449187.2654764,36819117.4868861
2005,13.4847164171455,33763521.128917,30702976.6167571,37273434.8146436
2006,13.4162612419338,33807296.809148,31194756.4327867,36883094.8227997
2007,13.3007908445,33398569.1287244,29792071.3834254,37573574.7189595
2008,13.2345365155747,33698172.8175413,30228204.8677705,37693224.4128416
2009,13.2656276824681,33870032.3763299,30629666.5461411,37544080.2428382
2010,13.2959432322861,34180550.5168197,30179373.7199609,38935493.7744535
2011,13.2688587303334,34400179.905845,31310211.0522422,37926914.0460498
2012,13.3911182994507,34874127.034712,30212362.0341759,40871590.0840675
2013,13.4349562350572,34439237.0363704,30585927.2291376,39095862.4590235
2014,13.8615707317405,33599140.5885938,29434284.0521952,38945873.0161557
2015,13.8704359946371,34225913.1241636,28549423.3846665,41600303.1475604
